iter	Passed	Remaining
399	83050	332203
400	83248	331957
401	83470	331807
402	83699	331680
403	83875	331348
404	84029	330929
405	84275	330873
406	84469	330613
407	84655	330321
408	84851	330068
409	85039	329787
410	85224	329491
411	85432	329288
412	85675	329217
413	85956	329291
414	86198	329217
415	86461	329219
416	86717	329193
417	86967	329145
418	87191	328995
419	87431	328907
420	87661	328782
421	87901	328691
422	88190	328785
423	88387	328533
424	88557	328182
425	88743	327890
426	88982	327795
427	89272	327887
428	89460	327605
429	89659	327361
430	89867	327150
431	90065	326905
432	90342	326942
433	90526	326648
434	90692	326286
435	90879	325999
436	91065	325710
437	91218	325304
438	91418	325067
439	91656	324963
440	91908	324908
441	92132	324756
442	92336	324533
443	92523	324249
444	92721	324003
445	92961	323907
446	93177	323723
447	93434	323682
448	93666	323554
449	93896	323422
450	94089	323157
451	94281	322893
452	94447	322538
453	94739	322616
454	94944	322395
455	95151	322178
456	95411	322145
457	95571	321771
458	95858	321827
459	96074	321640
460	96344	321635
461	96617	321640
462	96891	321647
463	97139	321566
464	97355	321377
465	97532	321063
466	97792	321019
467	98015	320854
468	98237	320684
469	98446	320473
470	98680	320345
471	98848	320002
472	98998	319601
473	99206	319384
474	99403	319138
475	99654	319061
476	99825	318731
477	99995	318395
478	100220	318237
479	100405	317949
480	100587	317656
481	100816	317508
482	101051	317382
483	101326	317377
484	101568	317269
485	101814	317174
486	102023	316963
487	102290	316931
488	102578	316965
489	102794	316775
490	103092	316835
491	103245	316452
492	103578	316618
493	103844	316579
494	104080	316446
495	104274	316186
496	104516	316072
497	104809	316111
498	105057	316013
499	105273	315819
500	105448	315503
501	105637	315228
502	105844	315008
503	106024	314707
504	106204	314407
505	106430	314244
506	106611	313947
507	106905	313981
508	107083	313675
509	107288	313450
510	107520	313302
511	107701	313007
512	107883	312713
513	108104	312536
514	108314	312323
515	108562	312221
516	108766	311992
517	109046	311981
518	109338	312005
519	109561	311827
520	109753	311564
521	110003	311464
522	110294	311481
523	110514	311296
524	110699	311013
525	110930	310857
526	111201	310814
527	111498	310843
528	111748	310739
529	111975	310573
530	112142	310239
531	112446	310284
532	112658	310076
533	112860	309839
534	113045	309553
535	113256	309341
536	113538	309324
537	113775	309180
538	114017	309053
539	114198	308759
540	114416	308566
541	114708	308570
542	114982	308526
543	115231	308414
544	115399	308084
545	115570	307764
546	115852	307740
547	116024	307422
548	116202	307122
549	116414	306911
550	116586	306594
551	116768	306304
552	116990	306122
553	117206	305922
554	117476	305863
555	117678	305624
556	117986	305664
557	118247	305579
558	118510	305499
559	118695	305217
560	118947	305108
561	119213	305033
