iter	MAPE	RMSE	R2	MAE
89	0.1428664965	339601.9473	0.9804883187	172579.576
90	0.1425519148	337128.7996	0.9807714712	171986.0397
91	0.1409239255	336283.4238	0.9808677842	171047.6372
92	0.1398662191	335340.5678	0.9809749179	170118.4968
93	0.1392043235	333926.5789	0.981135021	169261.6078
94	0.1387551406	332420.4963	0.9813048077	168447.9422
95	0.1374983134	331376.28	0.9814220758	167660.8921
96	0.1375236182	330207.931	0.981552847	167395.4265
97	0.1369578199	329191.8168	0.9816662033	166574.7905
98	0.1363099096	328261.8623	0.9817696416	165830.4085
99	0.136279491	327662.8843	0.9818361106	165607.1106
100	0.1358380951	325473.9753	0.9820779829	164909.1321
101	0.1349277155	324234.8288	0.9822141888	163894.2573
102	0.1342986309	323401.9336	0.9823054479	163126.0076
103	0.1339842915	322522.1122	0.9824015937	162294.8009
104	0.1338994108	321858.1765	0.9824739744	162048.8078
105	0.1335503599	320776.9254	0.9825915305	161455.9409
106	0.1331375757	318961.0714	0.9827880644	160296.0657
107	0.1323964305	318336.2442	0.9828554328	159699.2608
108	0.1322818874	317434.1296	0.9829524651	159099.9209
109	0.1319937266	316494.3451	0.9830532564	158696.9186
110	0.1317374126	314950.4925	0.9832181848	157905.6214
111	0.1317124927	314830.8253	0.9832309351	157889.5395
112	0.1305488764	313973.6457	0.983322124	157133.1789
113	0.1304825909	312624.7639	0.9834651179	156623.1835
114	0.1299556081	311569.4034	0.9835765666	155661.6159
115	0.1296659682	308820.5698	0.983865081	154976.1965
116	0.1293245562	307244.3044	0.9840293706	154415.1349
117	0.1286816625	306534.6645	0.9841030599	153903.0795
118	0.128695026	305874.5976	0.9841714486	153831.1248
119	0.1284166147	304612.2539	0.9843018278	153249.8921
120	0.1272092937	303818.3276	0.984383551	152397.2032
121	0.1264987515	302830.9732	0.9844848873	151407.2791
122	0.1264324126	301954.2517	0.9845745924	151118.103
123	0.1260995518	300935.1548	0.9846785384	150605.9518
124	0.1252740491	300533.5423	0.9847194055	150191.4248
125	0.1250614167	300147.9	0.9847585962	149702.0548
126	0.1247698194	299271.3144	0.9848474917	149303.9582
127	0.1246582381	297204.8794	0.985056022	148861.7929
128	0.1243682202	296525.4228	0.9851242724	148419.0011
129	0.1241531624	294791.181	0.9852977662	147840.2095
130	0.1239951062	294338.116	0.9853429233	147483.3655
131	0.1238165098	293620.025	0.9854143532	147150.0889
