AUX
Bluetooth
USB
Активный усилитель руля
Аэрография
Беспроводная зарядка для смартфона
Блокировка замков задних дверей
Бортовой компьютер
Велюр (Материал салона)
Вентиляция задних сидений
Вентиляция передних сидений
Газобаллонное оборудование
Голосовое управление
Датчик давления в шинах
Датчик дождя
Датчик проникновения в салон (датчик объема)
Датчик света
Датчик усталости водителя
Двухцветная окраска кузова
Декоративная подсветка салона
Декоративные молдинги
Декоративные накладки на педали
Дистанционный запуск двигателя
Дневные ходовые огни
Доводчик дверей
Докатка
Запуск двигателя с кнопки
Защита картера
Иммобилайзер
Искусственная кожа (Материал салона)
Камера 360°
Камера задняя
Камера передняя
Количество мест: 2
Количество мест: 4
Количество мест: 5
Количество мест: 6
Количество мест: 7
Количество мест: 8
Количество мест: 9
Комбинированный (Материал салона)
Крепление детского кресла (задний ряд) ISOFIX
Крепление детского кресла (передний ряд) ISOFIX
Круиз-контроль
Ксеноновые/Биксеноновые фары
Ламинированные боковые стекла
Легкосплавные диски
Люк
Мультимедиа система для задних пассажиров
Мультимедиа система с ЖК-экраном
Мультифункциональное рулевое колесо
Навигационная система
Накладки на пороги
Обвес кузова
Обогрев рулевого колеса
Омыватель фар
Отделка кожей рулевого колеса
Отделка потолка чёрного цвета
Открытие багажника без помощи рук
Охлаждаемый перчаточный ящик
Память передних сидений
Память сиденья водителя
Передние сиденья с поясничной поддержкой
Передний центральный подлокотник
Пневмоподвеска
Подогрев задних сидений
Подогрев передних сидений
Подрулевые лепестки переключения передач
Подушка безопасности для защиты коленей водителя
Полноразмерное запасное колесо
Премиальная аудиосистема
Прикуриватель и пепельница
Программируемый предпусковой отопитель
Проекционный дисплей
Противотуманные фары
Регулировка передних сидений по высоте
Регулировка руля по вылету
Регулировка руля по высоте
Регулировка сиденья водителя по высоте
Регулируемый педальный узел
Рейлинги на крыше
Розетка 220V
Рулевая колонка с памятью положения
Светлый салон
Светодиодные фары
Сигнализация
Сигнализация с обратной связью
Сиденье водителя с поясничной поддержкой
Сиденья с массажем
Система «старт-стоп»
Система автоматической парковки
Система адаптивного освещения
Система выбора режима движения
Система доступа без ключа
Система контроля за полосой движения
Система контроля слепых зон
Система ночного видения
Система помощи при спуске
Система помощи при старте в гору (HSA)
Система предотвращения столкновения
Система распознавания дорожных знаков
Система управления дальним светом
Складной столик на спинках передних сидений
Складывающееся заднее сиденье
Солнцезащитная шторка на заднем стекле
Солнцезащитные шторки в задних дверях
Спортивная подвеска
Спортивные передние сиденья
Стальные диски
Тёмный салон
Ткань (Материал салона)
Тонированные стекла
Третий задний подголовник
Третий ряд сидений
Усилитель руля
Фаркоп
Функция складывания спинки сиденья пассажира
Центральный замок
Электронная приборная панель
Электрообогрев боковых зеркал
Электрообогрев зоны стеклоочистителей
Электрообогрев лобового стекла
Электрообогрев форсунок стеклоомывателей
Электропривод крышки багажника
Электрорегулировка руля
Электроскладывание зеркал
ЭРА-ГЛОНАСС
Яндекс.Авто
